feature,near_zero_variance_dropped,correlation_redundancy_dropped,mutual_info_score,importance_score,mutual_info_rank,importance_rank
TransactionAmt,False,False,0.01695444914473354,0.00912961800218555,38.0,34.0
ProductCD,False,False,0.016466762563972503,0.007505457469301134,44.0,42.0
card1,False,False,0.020313211882380777,0.004596980239513382,21.0,66.0
card2,False,False,0.014658845276541488,0.004000540018654096,74.0,73.0
card3,False,False,0.016608432619541258,0.0072295891311671455,42.0,44.0
card4,False,False,0.003708190430991687,0.0007396935225802724,252.0,190.0
card5,False,False,0.00922371607146899,0.00156864256109135,160.0,133.0
card6,False,False,0.01455380614032542,0.0052678350295487664,77.0,57.0
addr1,False,False,0.0064929596714968785,0.0029592110998117095,205.0,93.0
addr2,False,False,0.00886604801452151,0.00011561411866663336,166.0,304.0
dist1,False,False,0.004284479580530132,0.0022789835583869197,239.0,116.0
C1,False,True,,,,
C2,False,False,0.007670998419624153,0.01709410492339107,185.0,11.0
C3,False,False,0.0014456732394487748,4.097573137522518e-05,292.0,325.0
C4,False,True,,,,
C5,False,False,0.007408219205493394,0.02294301200428393,190.0,3.0
C6,False,True,,,,
C7,False,True,,,,
C8,False,True,,,,
C9,False,False,0.0074599886122330705,0.0022091940737290878,189.0,118.0
C10,False,True,,,,
C11,False,True,,,,
C12,False,True,,,,
C13,False,False,0.006640354870656395,0.021666204727098758,204.0,4.0
C14,False,True,,,,
D1,False,True,,,,
D2,False,False,0.00721071673689333,0.009444111139159944,195.0,33.0
D3,False,False,0.004710820612116695,0.0123596927678157,231.0,20.0
D4,False,False,0.003917775701540505,0.003630442532135423,247.0,80.0
D5,False,False,0.009459760939010797,0.005243450504976245,156.0,58.0
D6,False,True,,,,
D8,False,False,0.014903627423679344,0.004581407589400386,71.0,67.0
D9,False,False,0.015646251482068996,0.0004824406622622261,60.0,226.0
D10,False,False,0.004774686616102253,0.004643871198898522,230.0,65.0
D11,False,False,0.005181557350333543,0.0026187641342969347,222.0,103.0
D12,False,True,,,,
D13,False,False,0.0007908192899577227,0.0004267971435458333,312.0,231.0
D14,False,False,0.004949603022054161,0.0006258024012407625,229.0,203.0
D15,False,False,0.0059222756843477775,0.005392209650532848,212.0,55.0
M1,True,False,,,,
M2,False,False,0.006819905744370969,0.0003458232537283699,202.0,251.0
M3,False,False,0.007924544530638178,0.0005880763004032422,181.0,209.0
M4,False,False,0.009265789559504967,0.00710133735192059,159.0,46.0
M5,False,False,0.005842313051894088,0.0023311928905086253,214.0,111.0
M6,False,False,0.01016508391957549,0.000913614911420975,148.0,174.0
M7,False,False,0.006663378527451913,0.0003878853983196726,203.0,240.0
M8,False,False,0.00723081637792955,0.00042157787187164787,194.0,232.0
M9,False,False,0.007373895041315137,0.000397388615482013,191.0,237.0
V1,True,False,,,,
V2,False,False,0.009054697372589349,0.00012610418934111924,165.0,300.0
V3,False,False,0.011944434785075897,0.00015193949425343378,114.0,293.0
V4,False,False,0.0062766695900307035,0.0004039327706682216,208.0,236.0
V5,False,False,0.009105127471884744,0.0005334465256893788,164.0,218.0
V6,False,False,0.007081824214634436,0.00013355949211244612,198.0,297.0
V7,False,False,0.010520344669528114,0.00021348202653152375,137.0,282.0
V8,False,False,0.013373737947784958,4.245510723966497e-05,87.0,323.0
V9,False,False,0.008679777708385572,5.863756828085886e-05,170.0,318.0
V10,False,False,0.005160954174167065,0.0014231707825172783,223.0,141.0
V11,False,True,,,,
V12,False,False,0.010747337456295858,0.0009975664673368984,133.0,167.0
V13,False,False,0.005965611877446708,0.0009864680600127948,211.0,169.0
V14,True,False,,,,
V15,False,True,,,,
V16,False,True,,,,
V17,False,True,,,,
V18,False,False,0.008606088398284584,0.001544880907844921,172.0,134.0
V19,False,False,0.00871815103987772,0.0006973290758913132,168.0,193.0
V20,False,False,0.010048783790207017,0.0009139443319029766,149.0,173.0
V21,False,False,0.007533596765953998,0.001041465497786355,188.0,164.0
V22,False,True,,,,
V23,False,False,0.01705667711410408,0.00025041704262024437,35.0,271.0
V24,False,False,0.01212298394454181,0.00031149530223490785,111.0,257.0
V25,False,False,0.01026100499291549,8.497836203203807e-05,145.0,311.0
V26,False,False,0.012357505491419785,0.00019833753527989559,104.0,287.0
V27,True,False,,,,
V28,True,False,,,,
V29,False,False,0.010553680924229702,0.020728094307137703,135.0,5.0
V30,False,True,,,,
V31,False,True,,,,
V32,False,True,,,,
V33,False,True,,,,
V34,False,False,0.007837022595464704,0.002166407460826887,183.0,119.0
V35,False,False,0.011194955493612602,0.0004393895699563523,124.0,230.0
V36,False,False,0.011183859337100532,0.0004922429264714833,125.0,224.0
V37,False,False,0.014109334843102062,0.0005420663758886306,80.0,214.0
V38,False,False,0.016388846513823774,0.0019146601604718815,46.0,124.0
V39,False,False,0.008130529608965098,0.002975248060018176,175.0,92.0
V40,False,False,0.00797741788488704,0.002624340207976754,179.0,102.0
V41,True,False,,,,
V42,False,True,,,,
V43,False,False,0.008667190263413449,0.0025943161591988006,171.0,104.0
V44,False,False,0.020266025322608572,0.0028398837659985242,22.0,95.0
V45,False,False,0.023874762246563597,0.004992421692108527,11.0,60.0
V46,False,False,0.01096713365902291,0.00023651021422779083,128.0,277.0
V47,False,False,0.0163005003273482,0.0004720730235061774,48.0,227.0
V48,False,False,0.007721139440584945,0.010716327932957192,184.0,25.0
V49,False,True,,,,
V50,False,True,,,,
V51,False,True,,,,
V52,False,False,0.009848757978736744,0.003846845885906729,152.0,74.0
V53,False,False,0.010320612584201028,0.0009662694464895288,142.0,170.0
V54,False,False,0.004962894258172534,0.0021005228007779393,227.0,121.0
V55,False,False,0.009278719186941675,0.0003441969499464234,158.0,253.0
V56,False,False,0.011444814634086642,0.0008490732640345985,120.0,179.0
V57,False,True,,,,
V58,False,True,,,,
V59,False,True,,,,
V60,False,False,0.0052513522113875055,0.000304712664215012,220.0,260.0
V61,False,False,0.011604160090379123,0.0010872646152665828,118.0,158.0
V62,False,False,0.012154491452065264,0.0026272650932279095,109.0,101.0
V63,False,False,0.005229692089171234,0.0005378034662275964,221.0,216.0
V64,False,True,,,,
V65,True,False,,,,
V66,False,False,0.01231305737459687,0.0003533914330573164,105.0,248.0
V67,False,False,0.012677355749829422,0.0006846228588721564,100.0,195.0
V68,True,False,,,,
V69,False,False,0.010897204644916725,0.029422045412592236,132.0,1.0
V70,False,True,,,,
V71,False,True,,,,
V72,False,True,,,,
V73,False,True,,,,
V74,False,False,0.004368016832706267,0.0011301098996050257,237.0,154.0
V75,False,False,0.005015260451089798,0.000845586950158268,226.0,180.0
V76,False,False,0.005504139119409057,0.0007741240034279866,217.0,188.0
V77,False,False,0.01038206276859821,0.00033092520359132585,141.0,256.0
V78,False,False,0.012796676408503904,0.00072043811110652,98.0,192.0
V79,False,False,0.008851825495282295,0.003686329526526176,167.0,77.0
V80,False,True,,,,
V81,False,False,0.008051846632895598,0.0020819640180021596,177.0,122.0
V82,False,False,0.011741838408741101,0.0006968124904759101,117.0,194.0
V83,False,False,0.012075736292970207,0.001302887000451304,112.0,145.0
V84,False,True,,,,
V85,False,False,0.007286270295678854,0.0016225293760921183,193.0,130.0
V86,False,False,0.021613993382471053,0.002559000603506537,16.0,106.0
V87,False,False,0.015869136500384906,0.0027687799076494568,56.0,97.0
V88,True,False,,,,
V89,True,False,,,,
V90,False,False,0.009541204389291291,0.0191239384250831,155.0,7.0
V91,False,True,,,,
V92,False,True,,,,
V93,False,False,0.00853048852015248,0.0012927154031635352,173.0,146.0
V94,False,True,,,,
V95,False,False,0.0037883567085794656,0.002881879783364216,250.0,94.0
V96,False,True,,,,
V97,False,False,0.004339223259069769,0.003195917801155489,238.0,87.0
V98,False,False,0.0012897593935192742,0.0006688904530259314,297.0,198.0
V99,False,True,,,,
V100,False,True,,,,
V101,False,False,0.004042795270489563,0.00035588729564053423,246.0,246.0
V102,False,False,0.004424148859191623,0.007966635883917673,236.0,39.0
V103,False,False,0.005906392775719471,0.007176701323283006,213.0,45.0
V104,False,False,0.00020022991259716072,0.00028126251199078636,326.0,261.0
V105,False,False,0.0010407816785211743,0.0006773631277854099,305.0,196.0
V106,False,False,0.0,0.00050312491267022,333.0,222.0
V107,True,False,,,,
V108,False,False,0.013060783926904351,4.21818500056721e-05,92.0,324.0
V109,False,False,0.00792888431547989,7.076118277602235e-05,180.0,314.0
V110,False,False,0.01386068742654012,3.2764486161405966e-05,83.0,331.0
V111,False,False,0.011927296966244949,1.41885495605581e-05,115.0,335.0
V112,False,False,0.013187115220916423,3.996009317952495e-05,90.0,326.0
V113,False,False,0.012703599768685736,1.1565657213234604e-05,99.0,337.0
V114,False,False,0.01454173760218902,0.00013262432186253307,78.0,298.0
V115,False,False,0.012896240348632126,9.886581231250185e-05,94.0,308.0
V116,False,False,0.010223387717079202,0.00027156068350868526,147.0,264.0
V117,False,False,0.009124458586073692,8.002535282256283e-06,162.0,339.0
V118,False,False,0.009873631673809724,6.1275382519740845e-18,151.0,342.0
V119,False,False,0.008216293190339785,2.8825257097997588e-05,174.0,332.0
V120,False,False,0.011556998563529097,0.0,119.0,343.0
V121,False,False,0.007062635578200638,7.424706356376241e-06,199.0,340.0
V122,False,False,0.009596527836743585,8.774939424963545e-07,154.0,341.0
V123,False,False,0.014985718451988372,0.0003085718466813649,69.0,259.0
V124,False,False,0.010422289510021665,0.00020270125827376529,140.0,286.0
V125,False,False,0.010998869649100795,0.0002028749779421704,126.0,285.0
V126,False,False,0.005660718009628862,0.0047827355618992665,216.0,63.0
V127,False,False,0.0042350246029607685,0.0025918700094253472,240.0,105.0
V128,False,False,0.0041985766079895015,0.007372961896023425,241.0,43.0
V129,False,False,0.00037457287344855317,0.0025228176947759812,321.0,107.0
V130,False,False,0.0023587337808734787,0.00206383547558937,280.0,123.0
V131,False,False,0.0016771814505280869,0.0030503950751399954,287.0,89.0
V132,False,False,0.005274562839005181,0.0013258744479681902,219.0,144.0
V133,False,False,0.006450191753350154,0.008039059935433952,206.0,38.0
V134,False,False,0.00753517030761186,0.00464504268086431,187.0,64.0
V135,False,True,,,,
V136,False,False,0.0022843722407810407,0.0010990482366589529,281.0,157.0
V137,False,True,,,,
V138,False,False,0.001186523223384528,8.398911449074697e-06,300.0,338.0
V139,False,False,0.00912418515933,0.0006235810084273734,163.0,204.0
V140,False,False,0.010311450180173098,0.0008100091065911644,143.0,183.0
V141,False,False,0.0017521077716773359,4.325888577101563e-05,284.0,322.0
V142,False,False,0.0002785992962321959,9.829189549538989e-05,323.0,309.0
V143,False,False,0.0026784616179251763,0.001449132979164295,275.0,140.0
V144,False,True,,,,
V145,False,True,,,,
V146,False,False,0.002980442956295848,0.0011278231420693951,267.0,155.0
V147,False,False,0.00237345439824721,0.001106299971339494,279.0,156.0
V148,False,True,,,,
V149,False,True,,,,
V150,False,False,0.004122959401864357,0.000995304387264683,243.0,168.0
V151,False,True,,,,
V152,False,False,0.006423544116594071,0.0010060948450433475,207.0,166.0
V153,False,True,,,,
V154,False,False,0.016035582432444295,0.00026880736971384464,54.0,265.0
V155,False,False,0.01682215761479977,0.00035517551035532256,39.0,247.0
V156,False,False,0.019423772377339832,0.0019031739870994928,24.0,125.0
V157,False,False,0.016046873286271968,0.0008413986017644648,53.0,181.0
V158,False,False,0.010951781311516084,0.0017331668176330055,131.0,128.0
V159,False,True,,,,
V160,False,False,0.00023308607665306624,0.0012087301612049262,324.0,152.0
V161,False,False,0.0016284556590446808,7.795607959866972e-05,289.0,313.0
V162,False,False,0.0,8.058084383680066e-05,333.0,312.0
V163,False,True,,,,
V164,False,False,0.00099934137344726,0.0007642792328063225,308.0,189.0
V165,False,True,,,,
V166,False,False,0.001040215146545842,0.0006147330508071734,306.0,205.0
V167,False,False,0.009435273077998296,0.0013941360657385147,157.0,142.0
V168,False,False,0.010994254941771642,0.010462592919841519,127.0,26.0
V169,False,False,0.0013547079713263077,0.000557399490958272,296.0,212.0
V170,False,False,0.022219000708735948,0.005565429250427405,13.0,53.0
V171,False,False,0.018735219961183436,0.01083256404752277,28.0,24.0
V172,False,False,0.001710335000111085,0.0010803222872647225,285.0,160.0
V173,False,False,0.00017189365139591573,0.0008632478420032642,327.0,176.0
V174,False,False,0.0012292534645137465,0.0003430488304994565,299.0,254.0
V175,False,False,0.002173498466530477,0.00014925076698388555,282.0,294.0
V176,False,False,0.02079700909519966,0.0002594037996555756,18.0,266.0
V177,False,False,0.009976309948753315,0.00024797994034950655,150.0,272.0
V178,False,False,0.010953439790588382,0.008368290025542667,130.0,36.0
V179,False,False,0.012454222962936745,0.0023082352215034914,103.0,115.0
V180,False,True,,,,
V181,False,False,0.003060848258377158,5.3858128355339315e-05,266.0,319.0
V182,False,False,0.002941814269040055,0.000254325438925865,268.0,268.0
V183,False,False,0.0027183551814446982,0.0001967508892534503,274.0,288.0
V184,False,False,0.0032037397406738943,0.00010323484175723731,263.0,306.0
V185,False,False,0.002786160601514487,0.0001267530336266335,271.0,299.0
V186,False,False,0.020795275918697786,0.00015435988333841006,19.0,292.0
V187,False,False,0.016205871531860705,0.0053633220336200315,50.0,56.0
V188,False,False,0.021296289505465138,0.0010203310897550436,17.0,165.0
V189,False,False,0.02573843085548111,0.003228766266806128,7.0,85.0
V190,False,True,,,,
V191,False,False,0.015825469726292063,0.00014543055802857964,58.0,295.0
V192,False,True,,,,
V193,False,False,0.018377502043367633,0.00011956444962449222,30.0,301.0
V194,False,False,0.014123052410516923,0.00021770749237296288,79.0,280.0
V195,False,False,0.016382515228089423,0.0002513225977777586,47.0,270.0
V196,False,True,,,,
V197,False,False,0.013666172988438197,0.0003572723636203459,86.0,245.0
V198,False,False,0.01263783975097632,0.000358653305960262,101.0,244.0
V199,False,False,0.027560034231325803,0.00811671065860499,2.0,37.0
V200,False,False,0.026675841712124004,0.006803307577645174,3.0,47.0
V201,False,False,0.028336767136848184,0.013891138457072532,1.0,16.0
V202,False,False,0.00871106218791673,0.0012343314620936207,169.0,149.0
V203,False,True,,,,
V204,False,False,0.010963373054252656,0.01019078526213371,129.0,31.0
V205,False,False,0.0003742936276232012,0.0012202837725842069,322.0,150.0
V206,False,True,,,,
V207,False,False,0.0015241414141837772,0.0005623128245720013,291.0,211.0
V208,False,False,0.002591063794251891,0.0005459176584230222,277.0,213.0
V209,False,False,0.0035357571505150176,0.0004940768496465094,256.0,223.0
V210,False,False,0.0046783150881895,0.0005231769909069447,232.0,219.0
V211,False,False,0.010730763923465503,0.00034421165068876445,134.0,252.0
V212,False,False,0.013182982598319626,0.006524373568300653,91.0,48.0
V213,False,False,0.012241501102537189,0.0018419574070393794,107.0,126.0
V214,False,True,,,,
V215,False,True,,,,
V216,False,True,,,,
V217,False,False,0.011344755651978788,0.0023736537569723176,122.0,110.0
V218,False,False,0.012147758322648139,0.01747149591475217,110.0,9.0
V219,False,False,0.013246575363315749,0.019966838899683464,89.0,6.0
V220,False,False,0.00022922739869235542,0.0004074371087325151,325.0,235.0
V221,False,True,,,,
V222,False,False,0.019436472642282876,0.001344106400870643,23.0,143.0
V223,False,False,0.0006344119114545244,0.0004139790216125699,315.0,234.0
V224,False,True,,,,
V225,False,False,0.0005234831826654851,0.0003633755469219786,317.0,243.0
V226,False,False,0.0,0.00025680812347707175,333.0,267.0
V227,False,False,0.001072157828689635,0.00030991801113918507,304.0,258.0
V228,False,False,0.017993572770437005,0.0005994315049185988,31.0,208.0
V229,False,True,,,,
V230,False,False,0.018783277956498923,0.004261646920363775,26.0,72.0
V231,False,False,0.012286114906458812,0.002157143281617327,106.0,120.0
V232,False,False,0.014066394101934332,0.0035451143477290936,81.0,82.0
V233,False,False,0.013259073008383693,0.004532393720920476,88.0,69.0
V234,False,False,0.004958336918017947,0.00034138221450804354,228.0,255.0
V235,False,False,0.003344159971762739,6.353125027649598e-05,259.0,317.0
V236,False,False,0.0036622613761858602,0.00035068290111645766,253.0,249.0
V237,False,False,0.0033187362829643074,4.647034229494221e-05,261.0,320.0
V238,False,False,0.003324472926105493,3.4379531181977964e-05,260.0,329.0
V239,False,False,0.0060513067936640574,0.00011876710032379344,210.0,302.0
V240,True,False,,,,
V241,True,False,,,,
V242,False,True,,,,
V243,False,False,0.02632396457174746,0.008664343016134312,4.0,35.0
V244,False,False,0.02471376942758785,0.0035923189159179037,10.0,81.0
V245,False,False,0.02618034858572993,0.0003499949851931543,5.0,250.0
V246,False,False,0.02292666971555457,0.013376304059810837,12.0,17.0
V247,False,False,0.013797066230939237,3.482051802582949e-05,85.0,328.0
V248,False,True,,,,
V249,False,False,0.015272594797920869,0.00019120366039389197,65.0,289.0
V250,False,True,,,,
V251,False,False,0.022099441480506687,0.0004211777849477246,14.0,233.0
V252,False,False,0.01496113875796734,0.00011758297792176299,70.0,303.0
V253,False,True,,,,
V254,False,False,0.01642500670249425,0.0002159288834254862,45.0,281.0
V255,False,True,,,,
V256,False,False,0.01571488880525429,0.0003969685696712711,59.0,239.0
V257,False,False,0.02539632006924175,0.013105688439900447,8.0,19.0
V258,False,False,0.0258965064979213,0.013296550759134272,6.0,18.0
V259,False,False,0.025095417085019944,0.0007783315481914134,9.0,187.0
V260,False,False,0.015279657015268011,0.0001097956852672737,64.0,305.0
V261,False,False,0.017024076412407663,0.0006451668660552876,37.0,200.0
V262,False,False,0.015476316395828471,0.0006084057186768878,61.0,207.0
V263,False,False,0.011337966602039895,0.0010857840652345606,123.0,159.0
V264,False,False,0.012552407502922858,0.016754468250679565,102.0,12.0
V265,False,False,0.012812168469763296,0.014191657492734313,97.0,14.0
V266,False,True,,,,
V267,False,False,0.003474051439813719,0.0005390595415819307,257.0,215.0
V268,False,False,0.003587670691996392,0.0005056465527536227,254.0,221.0
V269,False,True,,,,
V270,False,False,0.004179710156925642,0.0004704961134677697,242.0,228.0
V271,False,False,0.0028906983743335335,0.00039723468316437403,270.0,238.0
V272,False,True,,,,
V273,False,False,0.011805891728039919,0.003639377906695604,116.0,79.0
V274,False,False,0.015054551180080589,0.010382130371470283,68.0,28.0
V275,False,False,0.012856503861522928,0.010352200098621254,96.0,29.0
V276,False,True,,,,
V277,False,False,0.005780379062630736,0.00024653917481078395,215.0,273.0
V278,False,False,0.0051575775294741,0.00027751323101048056,224.0,262.0
V279,False,False,0.004120971745781077,0.004875947172549981,244.0,62.0
V280,False,False,0.00453307986631879,0.014123623344812647,235.0,15.0
V281,False,False,0.0028978063872688864,0.0027635167919158586,269.0,98.0
V282,False,False,0.010479160248001218,0.0055048193574645365,139.0,54.0
V283,False,False,0.00735419392521508,0.010445591813227613,192.0,27.0
V284,False,False,0.001168614048146388,0.001458079786990464,301.0,139.0
V285,False,False,0.00011162021732924465,0.0024021728454023984,329.0,109.0
V286,False,False,0.0,0.0011566032651864637,333.0,153.0
V287,False,False,0.0015362901999309564,0.0022098031688197093,290.0,117.0
V288,False,False,4.442579146402004e-05,0.0007954183418223383,331.0,185.0
V289,False,False,0.0013918561667967122,0.0008196935161782864,293.0,182.0
V290,False,False,0.011400756776259291,0.0008494258430886633,121.0,178.0
V291,False,True,,,,
V292,False,True,,,,
V293,False,False,0.00276847467944763,0.004295646952621325,272.0,71.0
V294,False,False,0.006199837931849972,0.017287847915031875,209.0,10.0
V295,False,True,,,,
V296,False,False,5.3189953043597527e-05,0.0009399878405620765,330.0,171.0
V297,False,False,0.00039636431797385185,0.00044838044142784487,320.0,229.0
V298,False,True,,,,
V299,False,False,0.0016390764871982988,0.0005755560847365555,288.0,210.0
V300,False,False,0.0012438534212826369,0.00023775924914758617,298.0,276.0
V301,False,False,0.0009205486438168542,0.0002043387732157673,309.0,283.0
V302,False,True,,,,
V303,False,False,0.009826769093087329,0.0015090811863148635,153.0,137.0
V304,False,False,0.007150230732877905,0.0015434218410575362,196.0,135.0
V305,True,False,,,,
V306,False,False,0.0037567214624689704,0.01180658860453492,251.0,21.0
V307,False,False,0.003867458741808827,0.007791794561199174,248.0,41.0
V308,False,False,0.005281325551336868,0.016301392850592657,218.0,13.0
V309,False,False,0.0017054886075171805,0.0037142950256642384,286.0,76.0
V310,False,False,0.004049141634509423,0.002800491864563025,245.0,96.0
V311,False,True,,,,
V312,False,False,0.003176204754622436,0.0034632680267523332,264.0,84.0
V313,False,False,0.0038037956062861866,0.001612863775079996,249.0,131.0
V314,False,False,0.0032224557062738857,0.0017866139944136073,262.0,127.0
V315,False,False,0.001954975494050437,0.003521523514744218,283.0,83.0
V316,False,False,0.00466975061885333,0.0024519068419028523,233.0,108.0
V317,False,False,0.007839182955138302,0.02370300949825864,182.0,2.0
