,0
numeric__card1,6891
numeric__card1_amt_zscore,6864
numeric__addr1,6479
numeric__card1_txn_count,6470
numeric__TransactionAmt_log,6140
numeric__card1_amt_mean,5899
numeric__card1_amt_std,5594
numeric__card2,4943
numeric__D15,3515
numeric__C13,3462
numeric__C2,2738
numeric__D10,2559
numeric__TransactionAmt_decimal,2458
numeric__D2,2361
numeric__card5,2206
numeric__id_02,2141
numeric__id_20,1837
numeric__id_31,1745
numeric__id_19,1670
numeric__C9,1447
numeric__D8,1431
numeric__D5,1413
numeric__V307,1221
numeric__D3,1114
numeric__id_06,884
numeric__V53,881
numeric__TransactionAmt,876
numeric__D9,781
numeric__id_01,769
numeric__V308,635
numeric__id_13,609
numeric__V12,598
numeric__C5,575
numeric__V282,541
categorical__M4_M0,531
numeric__V83,516
numeric__V20,514
numeric__V62,510
numeric__V283,509
numeric__V128,479
numeric__V317,479
categorical__M4_M1,478
numeric__V306,459
numeric__V126,429
numeric__V78,419
numeric__V87,418
numeric__V82,404
categorical__R_emaildomain_grouped_gmail.com,385
numeric__V45,376
numeric__card3,375
numeric__V61,357
numeric__V67,355
categorical__card6_credit,332
numeric__V133,328
categorical__R_emaildomain_grouped_hotmail.com,321
numeric__V318,295
numeric__V38,279
categorical__M4_M2,279
numeric__V56,273
categorical__id_38_F,252
categorical__R_emaildomain_grouped_anonymous.com,245
numeric__V86,244
numeric__V264,244
numeric__V294,244
numeric__V23,229
numeric__V44,227
numeric__V48,220
numeric__V37,210
categorical__M4_missing,192
numeric__V222,191
numeric__V134,190
numeric__D14_was_missing,187
numeric__V156,184
categorical__DeviceType_desktop,183
categorical__DeviceType_mobile,174
categorical__ProductCD_H,167
categorical__ProductCD_R,167
numeric__V34,162
numeric__V303,162
numeric__id_17,160
numeric__V52,155
categorical__card6_debit,153
numeric__V204,152
numeric__V280,152
numeric__V274,146
numeric__V29,145
numeric__V290,142
numeric__V187,141
numeric__V261,140
numeric__V202,133
numeric__V90,133
categorical__id_38_T,132
numeric__V81,131
numeric__V102,131
numeric__V265,130
categorical__R_emaildomain_grouped_missing,129
numeric__V258,128
numeric__V259,126
numeric__id_13_was_missing,120
numeric__V263,120
numeric__V47,118
categorical__id_37_F,117
categorical__id_34_match_status:2,116
numeric__V69,110
numeric__V43,109
categorical__R_emaildomain_grouped_yahoo.com,105
numeric__V39,97
numeric__V212,93
numeric__V189,92
numeric__V40,91
categorical__id_15_New,89
numeric__V157,88
numeric__V201,87
numeric__D13_was_missing,87
numeric__V158,85
numeric__V200,84
categorical__id_34_match_status:1,84
numeric__V275,83
numeric__V170,82
numeric__V245,81
categorical__ProductCD_S,81
numeric__V213,77
categorical__id_37_T,76
numeric__V262,72
numeric__V273,69
numeric__V218,68
categorical__R_emaildomain_grouped_other,68
categorical__R_emaildomain_grouped_outlook.com,68
numeric__id_16_was_missing,67
numeric__V251,67
categorical__id_36_F,63
numeric__V168,61
numeric__V256,60
categorical__id_16_Found,60
numeric__V230,60
numeric__V18,59
categorical__id_15_Found,59
categorical__R_emaildomain_grouped_icloud.com,59
numeric__V279,59
categorical__R_emaildomain_grouped_yahoo.com.mx,59
categorical__id_36_T,55
categorical__id_16_NotFound,55
numeric__V171,55
numeric__V243,55
numeric__V217,53
numeric__V79,52
numeric__V176,51
categorical__id_29_Found,50
numeric__V228,46
numeric__V257,46
numeric__V233,44
numeric__V93,44
numeric__D6_was_missing,41
categorical__R_emaildomain_grouped_live.com.mx,40
numeric__V178,39
numeric__V246,36
categorical__id_34_missing,35
numeric__V154,34
numeric__V244,33
categorical__R_emaildomain_grouped_aol.com,33
numeric__V188,32
categorical__id_29_NotFound,31
categorical__R_emaildomain_grouped_live.com,31
categorical__id_28_New,30
categorical__id_28_Found,29
numeric__V103,29
numeric__V232,29
categorical__R_emaildomain_grouped_msn.com,28
categorical__id_15_Unknown,28
numeric__V219,27
categorical__ProductCD_W,27
categorical__id_35_T,25
numeric__V199,24
categorical__id_12_NotFound,24
numeric__V167,23
numeric__V179,23
categorical__ProductCD_C,22
categorical__R_emaildomain_grouped_verizon.net,22
numeric__V186,21
categorical__id_12_Found,21
categorical__R_emaildomain_grouped_comcast.net,20
categorical__R_emaildomain_grouped_me.com,20
categorical__card6_missing,18
categorical__R_emaildomain_grouped_sbcglobal.net,15
numeric__V231,14
numeric__V155,13
numeric__V195,13
categorical__id_35_F,12
categorical__id_12_missing,8
categorical__id_36_missing,5
categorical__id_16_missing,5
categorical__DeviceType_missing,4
categorical__id_35_missing,0
categorical__card6_charge card,0
categorical__card6_debit or credit,0
categorical__id_15_missing,0
categorical__id_28_missing,0
categorical__id_37_missing,0
categorical__id_38_missing,0
categorical__id_29_missing,0
categorical__id_34_match_status:-1,0
categorical__id_34_match_status:0,0
