decile,cumulative_pct_of_population,cumulative_frauds_captured,gain,lift
1,0.09999322653842246,2636,0.6486220472440944,6.4866598438531335
2,0.19998645307684493,3130,0.7701771653543307,3.851146682712501
3,0.2999796796152674,3432,0.844488188976378,2.815151313113803
4,0.39997290615368986,3643,0.8964074803149606,2.2411705056104863
5,0.4999661326921123,3774,0.9286417322834646,1.8574092754705407
6,0.5999593592305348,3884,0.9557086614173228,1.5929556672689411
7,0.6999525857689572,3966,0.9758858267716536,1.394217046429738
8,0.7999458123073797,4010,0.9867125984251969,1.233474296939068
9,0.8999390388458022,4033,0.9923720472440944,1.102710299707456
10,0.9999322653842246,4064,1.0,1.0000677392040642
