,0
numeric__D5,0.004809426357904672
numeric__D8,0.0036343838828541493
numeric__id_17,0.0032373110837915203
numeric__D2,0.0021300418417004854
numeric__C5,0.002118579030474947
numeric__card3,0.00206284275803624
numeric__D3,0.0014477230943465407
numeric__id_01,0.0012505502552304464
numeric__id_20,0.001213116739938099
numeric__V273,0.0011940852457413907
numeric__V275,0.0010672120054440856
numeric__id_19,0.0010298276638267662
numeric__C2,0.0009016680136862357
numeric__V213,0.0008125471158921299
numeric__V126,0.0008124993016527635
numeric__C13,0.000809070329506981
numeric__C9,0.0006838607811172417
numeric__id_06,0.0006670141317876097
numeric__V274,0.0006297993297713686
numeric__V263,0.0006136690971248137
numeric__V265,0.0006020909769878758
numeric__V128,0.0005755891351282257
numeric__V133,0.0005237798946767427
numeric__id_13,0.00045230919367404807
numeric__V134,0.00042218056257016474
numeric__V283,0.00026561973638157055
numeric__V264,0.0002591529129484085
numeric__V218,0.0002383589914548298
numeric__V306,0.00022875351763878245
numeric__V204,0.00022745703833183017
numeric__D10,0.00020861365503499675
numeric__V178,0.00020499331286984382
numeric__V171,0.0001872120952899749
numeric__V219,0.00018686014083050975
numeric__V232,0.00018352325577954506
categorical__R_emaildomain_grouped_missing,0.0001749656981102397
numeric__V258,0.00017445594075130057
categorical__card6_debit,0.00017291744267957155
categorical__ProductCD_W,0.0001694326121895882
categorical__DeviceType_missing,0.00016819916784759496
categorical__id_15_missing,0.0001680515383573898
categorical__id_35_missing,0.0001680515383573898
categorical__id_36_missing,0.00016805153835732913
categorical__id_37_missing,0.00016805153835732913
categorical__id_29_missing,0.00016805153835732913
categorical__id_38_missing,0.00016805153835732913
categorical__id_28_missing,0.00016805153835732913
categorical__id_12_missing,0.00016644987767148846
categorical__id_16_missing,0.00016548190489830522
numeric__V282,0.00016528997151722788
numeric__V168,0.00016177722155002154
numeric__V201,0.0001611278631823923
numeric__V45,0.0001589809146136785
numeric__V257,0.00014906100717513134
categorical__M4_missing,0.00014835109209620636
numeric__V187,0.00014789916686047767
numeric__V233,0.00014648785153089963
numeric__V217,0.00014324034586255522
numeric__V170,0.0001405210202848247
numeric__V200,0.0001373767059610996
numeric__V179,0.00013707763005654878
numeric__V308,0.0001362960519945882
numeric__V222,0.00013620381432147844
numeric__V212,0.0001361773725425385
numeric__D15,0.00013585480623113183
numeric__V199,0.00013465097529363117
numeric__V69,0.00013246768278475543
numeric__V29,0.0001322651491758054
numeric__V90,0.00013218473886043557
numeric__V167,0.00013212358585122674
numeric__V230,0.0001303401780460632
numeric__V44,0.00012314987764740204
numeric__V87,0.00011884898647015845
numeric__V38,0.00011836217246718247
numeric__V231,0.00011687541658468782
numeric__V246,0.00011660334174258582
categorical__id_34_missing,0.00011478544102554438
numeric__V48,0.00010698544413485885
numeric__V228,0.0001017496811543872
numeric__TransactionAmt_decimal,9.844001769779631e-05
numeric__V78,9.759746487413082e-05
numeric__V176,9.613887471832182e-05
numeric__V243,9.39013230867437e-05
numeric__V189,9.27797429306048e-05
numeric__V86,9.241554096852132e-05
numeric__V202,9.08811165601325e-05
numeric__V259,9.075354181300404e-05
numeric__card1_txn_count,8.819220219258667e-05
numeric__V52,8.672406221208597e-05
numeric__V244,8.301134258159967e-05
numeric__V40,8.029481491418386e-05
numeric__V37,7.596351652690342e-05
numeric__V188,7.316978149073376e-05
numeric__V102,6.95009393246169e-05
numeric__V186,6.845170258470709e-05
numeric__V79,6.807573623165564e-05
numeric__V62,6.730061421564828e-05
numeric__V81,6.641356767260829e-05
numeric__V318,6.589306454196766e-05
numeric__V261,6.540581090759274e-05
numeric__V83,6.391461531338459e-05
numeric__V39,6.364829682520876e-05
numeric__V43,6.35776899932554e-05
numeric__V93,6.245543804275273e-05
numeric__TransactionAmt,6.16128059887529e-05
numeric__V303,6.066641796519222e-05
numeric__V307,5.9979350055812506e-05
numeric__V294,5.987281895705615e-05
numeric__V34,5.9845717735438696e-05
numeric__V280,5.93368328035155e-05
categorical__ProductCD_C,5.627490897954291e-05
numeric__V18,5.597978079620801e-05
categorical__id_35_F,5.3038506820305893e-05
numeric__V103,5.1179869973994224e-05
categorical__R_emaildomain_grouped_gmail.com,5.075561442784983e-05
numeric__card1_amt_mean,5.054723122205819e-05
numeric__V61,5.002275664727066e-05
numeric__V158,4.979898030817921e-05
categorical__M4_M2,4.8195166190554965e-05
numeric__D14_was_missing,4.666662747417789e-05
numeric__D6_was_missing,4.6162540497009226e-05
numeric__V82,4.549384456887064e-05
numeric__V245,4.457096768994092e-05
numeric__V156,4.4229314047168255e-05
categorical__id_29_Found,4.379666327981545e-05
numeric__V279,4.3350688319531584e-05
numeric__D13_was_missing,4.262797183913097e-05
categorical__id_28_Found,4.228340651943407e-05
numeric__V53,4.1993475659017215e-05
categorical__card6_credit,4.140221045237334e-05
numeric__V20,4.0829885108312426e-05
categorical__id_16_Found,3.9729502573255424e-05
numeric__V262,3.91265573238215e-05
categorical__id_36_F,3.863496983841208e-05
categorical__id_37_T,3.8545853082140984e-05
numeric__V47,3.833044234529029e-05
categorical__id_15_Found,3.815983418671689e-05
numeric__id_13_was_missing,3.71376560859339e-05
numeric__V157,3.696124240004716e-05
categorical__DeviceType_mobile,3.6318849976771665e-05
numeric__V12,3.462994720244455e-05
categorical__id_12_NotFound,3.436984833318164e-05
numeric__id_16_was_missing,3.3700433169179636e-05
numeric__V155,3.361069915204646e-05
numeric__V23,3.307517739752356e-05
numeric__card1_amt_std,3.209529359681902e-05
categorical__id_38_F,2.909792640725041e-05
numeric__id_31,2.7527704667351667e-05
numeric__V154,2.736741159814746e-05
numeric__V67,2.4505827210297148e-05
numeric__card1,2.401814781029926e-05
numeric__V56,2.3693127003143975e-05
numeric__card5,2.0359962533063547e-05
categorical__ProductCD_R,1.9145351958786267e-05
numeric__V195,1.800340631784605e-05
numeric__TransactionAmt_log,1.7600256685575956e-05
categorical__id_34_match_status:2,1.7394442841899215e-05
categorical__id_35_T,1.6768440192009596e-05
categorical__M4_M0,1.6456273767766598e-05
categorical__M4_M1,1.516927205570607e-05
numeric__V317,1.428467490687563e-05
numeric__card1_amt_zscore,1.2859197324556934e-05
numeric__addr1,1.1713075528905632e-05
numeric__V290,9.285654759038163e-06
categorical__R_emaildomain_grouped_anonymous.com,9.242384786361357e-06
numeric__D9,9.207589071832232e-06
numeric__V256,8.128548759368063e-06
categorical__id_29_NotFound,7.526596651514218e-06
categorical__id_38_T,7.172140221047586e-06
categorical__id_16_NotFound,6.02906940406525e-06
categorical__id_28_New,6.013339891134993e-06
categorical__R_emaildomain_grouped_hotmail.com,5.787425477885743e-06
categorical__id_15_New,4.459401017527445e-06
categorical__ProductCD_S,3.558904947883637e-06
categorical__R_emaildomain_grouped_outlook.com,3.2448855239555245e-06
categorical__ProductCD_H,3.037321508116107e-06
categorical__id_15_Unknown,2.569633459104721e-06
categorical__id_36_T,2.364903210112868e-06
categorical__id_37_F,2.2757864538387835e-06
categorical__R_emaildomain_grouped_icloud.com,1.4793020699504167e-06
categorical__R_emaildomain_grouped_other,1.4657746187217661e-06
categorical__R_emaildomain_grouped_comcast.net,1.3987211209246908e-06
categorical__R_emaildomain_grouped_aol.com,1.2561013930295574e-06
numeric__id_02,1.2224652309753208e-06
categorical__R_emaildomain_grouped_yahoo.com.mx,1.213540575033114e-06
categorical__R_emaildomain_grouped_msn.com,8.905287995572775e-07
categorical__R_emaildomain_grouped_verizon.net,7.356957995771343e-07
categorical__R_emaildomain_grouped_sbcglobal.net,5.896140754290674e-07
numeric__card2,5.89612776026989e-07
categorical__R_emaildomain_grouped_me.com,5.807361851092798e-07
numeric__V251,5.409228147813278e-07
categorical__id_34_match_status:1,4.32693939141747e-07
categorical__R_emaildomain_grouped_live.com.mx,3.561168934260381e-07
categorical__R_emaildomain_grouped_live.com,3.116698183614018e-07
categorical__id_12_Found,2.985576092098816e-07
categorical__card6_missing,2.0839281693184638e-07
categorical__DeviceType_desktop,9.884614174851002e-08
categorical__R_emaildomain_grouped_yahoo.com,4.211705302116332e-08
categorical__card6_debit or credit,3.618575725361018e-08
categorical__id_34_match_status:0,2.989841802201381e-08
categorical__card6_charge card,2.1660927678052483e-08
categorical__id_34_match_status:-1,4.383382751025298e-09
