decile,cumulative_pct_of_population,cumulative_frauds_captured,gain,lift
1,0.09999322653842246,1675,0.4121555118110236,4.121834308973444
2,0.19998645307684493,2492,0.6131889763779528,3.0661525665557683
3,0.2999796796152674,2857,0.703001968503937,2.343498630992464
4,0.39997290615368986,3080,0.7578740157480315,1.8948133838265984
5,0.4999661326921123,3295,0.8107775590551181,1.6216649609632834
6,0.5999593592305348,3439,0.8462106299212598,1.4104465859263358
7,0.6999525857689572,3580,0.8809055118110236,1.2585216909274992
8,0.7999458123073797,3731,0.9180610236220472,1.1476540154313375
9,0.8999390388458022,3890,0.9571850393700787,1.0636109759142087
10,0.9999322653842246,4063,0.999753937007874,0.9998216595438271
