decile,cumulative_pct_of_population,cumulative_frauds_captured,gain,lift
1,0.09999322653842246,1299,0.31963582677165353,3.196574786481495
2,0.19998645307684493,2273,0.5593011811023622,2.7966953385960114
3,0.2999796796152674,3122,0.7682086614173228,2.560868997535342
4,0.39997290615368986,3470,0.8538385826771654,2.1347410525578883
5,0.4999661326921123,3662,0.9010826771653543,1.8022874315774033
6,0.5999593592305348,3796,0.9340551181102362,1.556863983767482
7,0.6999525857689572,3905,0.9608759842519685,1.3727729617519233
8,0.7999458123073797,3977,0.9785925196850394,1.2233235109542826
9,0.8999390388458022,4014,0.9876968503937008,1.0975152846580036
10,0.9999322653842246,4064,1.0,1.0000677392040642
