decile,cumulative_pct_of_population,cumulative_frauds_captured,gain,lift
1,0.09999322653842246,2524,0.6210629921259843,6.211050624387447
2,0.19998645307684493,3098,0.7623031496062992,3.8117739370745465
3,0.2999796796152674,3459,0.8511318897637795,2.837298482535153
4,0.39997290615368986,3658,0.9000984251968503,2.250398492869382
5,0.4999661326921123,3779,0.9298720472440944,1.8598700720729129
6,0.5999593592305348,3872,0.952755905511811,1.5880340740641967
7,0.6999525857689572,3949,0.9717027559055118,1.3882408261096912
8,0.7999458123073797,4001,0.984498031496063,1.2307059007613992
9,0.8999390388458022,4044,0.9950787401574803,1.1057179399992443
10,0.9999322653842246,4064,1.0,1.0000677392040642
