,0
numeric__V258,0.16386227
categorical__ProductCD_C,0.08191682
numeric__V294,0.064202495
numeric__V69,0.056012213
numeric__V90,0.026889272
categorical__card6_debit,0.022861574
numeric__V187,0.018244889
categorical__id_34_missing,0.017835364
numeric__V201,0.013360831
categorical__ProductCD_R,0.011555906
numeric__C5,0.011251844
categorical__ProductCD_W,0.009528229
categorical__id_35_T,0.009400023
categorical__R_emaildomain_grouped_missing,0.009126713
numeric__V157,0.0074822856
numeric__C13,0.007371618
categorical__DeviceType_mobile,0.0071161604
categorical__id_36_T,0.0070620966
categorical__ProductCD_S,0.006843294
numeric__V283,0.006573203
categorical__R_emaildomain_grouped_gmail.com,0.0064177527
categorical__card6_credit,0.0061900015
categorical__ProductCD_H,0.0059205317
numeric__C2,0.0058476315
numeric__card3,0.0058357017
numeric__V45,0.0057949917
categorical__id_35_F,0.0057834075
numeric__D2,0.0056782016
numeric__V308,0.0053928816
numeric__V102,0.0052351286
numeric__V156,0.004719891
numeric__id_17,0.004650054
categorical__R_emaildomain_grouped_anonymous.com,0.004579203
categorical__M4_missing,0.004480519
categorical__R_emaildomain_grouped_live.com,0.0043471283
categorical__R_emaildomain_grouped_yahoo.com.mx,0.0042066965
numeric__D3,0.0041957106
categorical__M4_M2,0.004144634
numeric__V67,0.004024012
numeric__V261,0.003979399
categorical__R_emaildomain_grouped_msn.com,0.003944773
numeric__V230,0.0038890378
numeric__V87,0.003849369
numeric__V262,0.003844723
numeric__V83,0.0038443164
numeric__V62,0.0038065624
numeric__V282,0.0038001644
categorical__id_37_F,0.0037672045
numeric__TransactionAmt,0.0037164597
numeric__C9,0.0036639026
categorical__id_36_F,0.0036441418
categorical__R_emaildomain_grouped_hotmail.com,0.0036145295
numeric__card1_amt_mean,0.003571198
numeric__V280,0.003551807
numeric__D10,0.0034877127
numeric__V53,0.0034811574
numeric__V82,0.0034363444
categorical__M4_M1,0.003432762
numeric__V56,0.003428854
numeric__D15,0.0034273423
numeric__card1_txn_count,0.0033564498
numeric__V12,0.0032748878
categorical__id_34_match_status:2,0.003265806
numeric__V231,0.0032390095
numeric__card1_amt_std,0.0032311555
numeric__V228,0.0032165835
numeric__V61,0.0031406768
numeric__V48,0.0031321917
numeric__V20,0.0031079643
numeric__V217,0.0031029978
numeric__TransactionAmt_log,0.0031007794
numeric__id_01,0.0030870012
categorical__R_emaildomain_grouped_me.com,0.0030782851
numeric__V29,0.0030665612
categorical__card6_missing,0.00297826
numeric__V275,0.0029486157
numeric__V34,0.0029074475
numeric__addr1,0.0029067367
numeric__card1,0.0028904025
numeric__card2,0.0028517705
categorical__R_emaildomain_grouped_yahoo.com,0.0028153665
numeric__V303,0.002814785
categorical__id_29_Found,0.0027480985
numeric__D14_was_missing,0.002727422
categorical__R_emaildomain_grouped_verizon.net,0.0027201432
numeric__V307,0.00270814
numeric__V189,0.0026688636
categorical__R_emaildomain_grouped_icloud.com,0.0026504288
numeric__card5,0.0026328883
numeric__V37,0.0026315069
categorical__M4_M0,0.002613732
numeric__D8,0.0026111668
numeric__D5,0.0025481412
numeric__D6_was_missing,0.0025314835
numeric__V126,0.0025267473
numeric__V23,0.002512273
categorical__id_34_match_status:1,0.0024840985
numeric__D13_was_missing,0.0024622825
categorical__R_emaildomain_grouped_outlook.com,0.0024430347
categorical__R_emaildomain_grouped_sbcglobal.net,0.0024317128
categorical__id_12_NotFound,0.0023922233
numeric__id_13_was_missing,0.0023653184
numeric__V263,0.00233272
numeric__id_31,0.0023251462
numeric__V38,0.0022972664
numeric__V306,0.0022786714
categorical__id_38_F,0.0022723712
categorical__R_emaildomain_grouped_live.com.mx,0.0022492951
categorical__R_emaildomain_grouped_other,0.0022237678
numeric__id_20,0.0022068657
numeric__V47,0.0021819852
numeric__TransactionAmt_decimal,0.002177784
categorical__R_emaildomain_grouped_aol.com,0.0021658943
numeric__V43,0.0021324703
numeric__card1_amt_zscore,0.00212996
numeric__V86,0.0021287026
numeric__V78,0.0021175912
categorical__R_emaildomain_grouped_comcast.net,0.0021070628
numeric__V81,0.0020695184
numeric__id_16_was_missing,0.002054405
numeric__V257,0.0020283486
numeric__V128,0.0020210752
numeric__V200,0.0019929209
numeric__V317,0.0019830924
categorical__id_16_NotFound,0.0019687545
numeric__V251,0.0019651947
numeric__V158,0.0019605672
categorical__id_38_T,0.0019550466
numeric__V44,0.0019427757
numeric__V52,0.0019384762
numeric__V39,0.0019352218
categorical__id_15_New,0.0019323336
numeric__id_02,0.0019020558
numeric__V219,0.0018995226
categorical__id_12_missing,0.0018731597
numeric__V212,0.0018302808
categorical__id_12_Found,0.0018178355
numeric__V170,0.0018098784
numeric__id_06,0.0018049711
numeric__id_13,0.0018025077
categorical__id_37_T,0.0018000297
numeric__V290,0.0017944081
numeric__V318,0.001786943
numeric__V168,0.0017828717
numeric__V79,0.0017489863
numeric__id_19,0.0017329119
numeric__D9,0.0017175402
categorical__id_16_missing,0.0017133817
categorical__DeviceType_desktop,0.0017125643
numeric__V18,0.0016921635
numeric__V178,0.0016829944
categorical__id_15_Found,0.0016624385
numeric__V40,0.0016296552
categorical__id_34_match_status:0,0.0016157018
categorical__id_28_New,0.0015843707
