decile,cumulative_pct_of_population,cumulative_frauds_captured,gain,lift
1,0.09999322653842246,2507,0.6168799212598425,6.169217082147119
2,0.19998645307684493,2978,0.7327755905511811,3.664126140932214
3,0.2999796796152674,3322,0.8174212598425197,2.7249221043601555
4,0.39997290615368986,3531,0.8688484251968503,2.1722682007440643
5,0.4999661326921123,3684,0.906496062992126,1.813114936627841
6,0.5999593592305348,3800,0.9350393700787402,1.5585045148357302
7,0.6999525857689572,3897,0.9589074803149606,1.3699606227777836
8,0.7999458123073797,3981,0.9795767716535433,1.2245539092554687
9,0.8999390388458022,4027,0.9908956692913385,1.101069768639208
10,0.9999322653842246,4064,1.0,1.0000677392040642
