group,n,n_positive_actual,n_positive_predicted,selection_rate,tpr,fpr,fnr,tnr,precision,f1,balanced_accuracy,roc_auc,pr_auc,confusion_matrix,attribute
Missing,743,15,23,0.03095558546433378,0.4666666666666667,0.02197802197802198,0.5333333333333333,0.978021978021978,0.30434782608695654,0.3684210526315789,0.7223443223443223,0.9383699633699634,0.4658205145925883,"{'true_negative': 712, 'false_positive': 16, 'false_negative': 8, 'true_positive': 7}",card6
credit,27270,1761,1541,0.05650898423175651,0.524701873935264,0.024187541651965974,0.4752981260647359,0.975812458348034,0.5996106424399741,0.5596608116293156,0.7502571661416491,0.8879994676918541,0.5750477613117927,"{'true_negative': 24892, 'false_positive': 617, 'false_negative': 837, 'true_positive': 924}",card6
debit,90095,2288,1274,0.014140629335701205,0.3356643356643357,0.005762638514013689,0.6643356643356644,0.9942373614859863,0.6028257456828885,0.4312184166198765,0.664950848575161,0.8645540977466395,0.4193103322824662,"{'true_negative': 87301, 'false_positive': 506, 'false_negative': 1520, 'true_positive': 768}",card6
Missing,744,15,23,0.030913978494623656,0.4666666666666667,0.02194787379972565,0.5333333333333333,0.9780521262002744,0.30434782608695654,0.3684210526315789,0.7223593964334705,0.937814357567444,0.46430043675911037,"{'true_negative': 713, 'false_positive': 16, 'false_negative': 8, 'true_positive': 7}",card4
american express,1126,33,36,0.03197158081705151,0.42424242424242425,0.020128087831655993,0.5757575757575758,0.979871912168344,0.3888888888888889,0.40579710144927533,0.7020571682053841,0.8887132995092739,0.47731036542094757,"{'true_negative': 1071, 'false_positive': 22, 'false_negative': 19, 'true_positive': 14}",card4
discover,1257,113,90,0.07159904534606205,0.37168141592920356,0.04195804195804196,0.6283185840707964,0.958041958041958,0.4666666666666667,0.4137931034482759,0.6648616869855808,0.7785831425211955,0.44561622254206135,"{'true_negative': 1096, 'false_positive': 48, 'false_negative': 71, 'true_positive': 42}",card4
mastercard,38355,1230,941,0.024533959066614524,0.45365853658536587,0.010316498316498316,0.5463414634146342,0.9896835016835017,0.5929861849096706,0.5140488254260709,0.7216710191344338,0.8950208754208755,0.5185219844982222,"{'true_negative': 36742, 'false_positive': 383, 'false_negative': 672, 'true_positive': 558}",card4
visa,76626,2673,1748,0.022812100331480175,0.40329218106995884,0.009059808256595405,0.5967078189300411,0.9909401917434046,0.6167048054919908,0.4876724722913368,0.6971161864066817,0.8752981217496969,0.4753215468180543,"{'true_negative': 73283, 'false_positive': 670, 'false_negative': 1595, 'true_positive': 1078}",card4
Missing,94936,1883,748,0.007878992163141484,0.13860860329261815,0.005233576563893695,0.8613913967073819,0.9947664234361063,0.34893048128342247,0.1984036488027366,0.5666875133643623,0.8221405797901856,0.1863487694713831,"{'true_negative': 92566, 'false_positive': 487, 'false_negative': 1622, 'true_positive': 261}",DeviceType
desktop,13620,1089,1112,0.0816446402349486,0.7153351698806244,0.026574096241321524,0.2846648301193756,0.9734259037586784,0.7005395683453237,0.7078600636074511,0.8443805368196514,0.9305450673331056,0.7507309096652516,"{'true_negative': 12198, 'false_positive': 333, 'false_negative': 310, 'true_positive': 779}",DeviceType
mobile,9552,1092,978,0.10238693467336683,0.6034798534798534,0.037706855791962174,0.3965201465201465,0.9622931442080378,0.6738241308793456,0.6367149758454107,0.7828864988439457,0.9040413192008937,0.6752805827838205,"{'true_negative': 8141, 'false_positive': 319, 'false_negative': 433, 'true_positive': 659}",DeviceType
